waypoint_id,x,y,z,relative_x,relative_y,relative_z
1,9670,-430,14910,9797.523438,-122.039062,120.421875
2,46980,-500,17330,47107.52344,-192.039062,2540.421875
3,94610,390,21480,94737.52344,697.960938,6690.421875
4,134560,200,30810,134687.5234,507.960938,16020.42188
5,188580,-390,43710,188707.5234,-82.039062,28920.42188
6,231050,-390,30640,231177.5234,-82.039062,15850.42188
7,296680,9720,27490,296807.5234,10027.96094,12700.42188
8,310570,14600,27100,310697.5234,14907.96094,12310.42188
9,316480,30510,27490,316607.5234,30817.96094,12700.42188
10,310860,44050,27100,310987.5234,44357.96094,12310.42188
11,296680,49550,27490,296807.5234,49857.96094,12700.42188
12,271420,66380,21400,271547.5234,66687.96094,6610.421875
13,266690,90410,17260,266817.5234,90717.96094,2470.421875
14,272220,117420,29150,272347.5234,117727.9609,14360.42188
15,267410,136210,17620,267537.5234,136517.9609,2830.421875
16,269350,147080,20840,269477.5234,147387.9609,6050.421875
17,276560,159690,29540,276687.5234,159997.9609,14750.42188
18,276630,169960,33000,276757.5234,170267.9609,18210.42188
19,265450,180930,26820,265577.5234,181237.9609,12030.42188
20,248990,179570,17330,249117.5234,179877.9609,2540.421875
21,238500,179570,15970,238627.5234,179877.9609,1180.421875
22,219090,179570,15300,219217.5234,179877.9609,510.421875
